Start,End,Duration,TCP Connect,TLS Handshake,Wait,Receive,Status,Content Type,Request Size,Response Size,URL
1893,2223,330,25,51,166,16,204,application/json;charset=UTF-8,2183,914,https://p65-fmf.icloud.com/fmipservice/fmf/18251166005/00008101-001005DC3CD1003A/register
1895,2152,257,20,42,107,14,204,application/json;charset=UTF-8,2183,914,https://p65-fmf.icloud.com/fmipservice/fmf/18251166005/00008101-001005DC3CD1003A/register
14361,14630,269,38,101,79,14,200,application/octet-stream,1948,3391,https://ppq.apple.com/v1/authorization
269543,269844,301,17,118,58,28,400,application/json,700,281,https://default.stg.api.discomax.com/downloads-manager/any/downloads-manager/v1/user/downloads/active
269742,270222,480,42,96,63,25,400,application/json,650,281,https://stg.api.discomax.com/session-context/headwaiter/v1/bootstrap
269756,270201,445,30,39,58,30,200,application/json,224,368,https://kpck4q-cdn-settings.appsflyersdk.com/ios/v1/66e7f5225aa156b6e729feb63c545035a90d6b2769f97b0895de2dfd5e218b56/settings
269802,270182,380,26,79,219,23,201,application/json,1021,1207,https://sdk.iad-01.braze.com/api/v3/data
269856,270421,565,0,0,534,31,200,application/json;charset=utf-8,714,6062,https://default.stg.api.discomax.com/token?realm=bolt
269896,270593,697,46,233,308,23,200,application/json; charset=UTF-8,862,949,https://firebaseinstallations.googleapis.com/v1/projects/wbd-stream/installations/
269902,270447,545,40,232,117,62,204,,1548,175,https://ca.iadsdk.apple.com/adserver/attribution/v2
269904,270332,428,37,226,45,22,200,application/json; charset=utf-8,1982,878,https://api2.branch.io/v1/install
270220,270428,208,0,0,166,37,201,application/json,1016,662,https://sdk.iad-01.braze.com/api/v3/data
270254,270597,343,0,0,318,25,201,application/json,742,1805,https://sdk.iad-01.braze.com/api/v3/content_cards/sync
270262,270461,199,0,0,142,57,201,application/json,659,679,https://sdk.iad-01.braze.com/api/v3/feature_flags/sync
270292,270927,635,12,52,476,20,200,application/json; charset=utf-8,610,193,https://kpck4q-dlsdk.appsflyersdk.com/v1.0/ios/id1666653815?sdk_version=6.11&af_sig=49f2db6be67149671cb33c41f13be98738be1ae1d2756bfaca8f81f83e27343b
270469,270924,455,104,41,17,24,200,application/json,201,796,https://cdn.branch.io/sdk/uriskiplist_v0.json
270476,270660,184,0,0,164,10,200,application/json,6553,575,https://default.stg.api.discomax.com/downloads-manager/any/downloads-manager/v1/user/downloads/active
270486,270636,150,0,0,132,8,200,application/json,6647,993,https://default.stg.api.discomax.com/labs/api/v1/sessions/feature-flags/decisions
270714,270809,95,0,0,78,8,200,application/json,6503,468,https://stg.api.discomax.com/session-context/headwaiter/v1/bootstrap
271082,271262,180,0,0,164,8,200,application/json,6463,380,https://default.stg.api.discomax.com/entitlements/userEntitlementsSummary/me
271095,271331,236,0,0,220,8,200,application/json;charset=utf-8,6463,729,https://default.stg.api.discomax.com/users/me?validateAccount=true
271105,271340,235,0,0,215,12,200,application/json;charset=utf-8,6463,427,https://default.stg.api.discomax.com/users/me/partners
271114,271281,167,0,0,153,6,200,application/json,6463,2586,https://default.stg.api.discomax.com/labs/api/v1/sessions/feature-flags/decisions?projectId=eee34681-a45b-42da-a487-81544dfbe620
271255,271724,469,0,0,462,6,200,application/json; charset=utf-8,345,209,https://kpck4q-skadsdk.appsflyersdk.com/api/v2.0/rules?uid=1697791623758-0309223&app_id=id1666653815&currency=USD&sdk_version=6.11.0&os_version=14.6
271388,271881,493,98,215,125,17,201,application/json; charset=utf-8,1513,1338,https://api.apptentive.com/conversations
271571,271693,122,0,0,105,9,200,application/json;charset=utf-8,6527,406,https://default.stg.api.discomax.com/legal/region
271788,272001,213,0,0,205,7,200,text/plain,3237,205,https://kpck4q-conversions.appsflyersdk.com/api/v6.11/iosevent?app_id=1666653815&buildnumber=6.11.0
271895,272007,112,0,0,102,8,201,application/json,941,248,https://api.apptentive.com/conversations/65323fdb76906c585b0e61b9/events
271964,272042,78,0,0,62,7,200,application/json;charset=utf-8,6527,406,https://default.stg.api.discomax.com/legal/region
272021,272266,245,0,0,233,11,200,application/json; charset=utf-8,687,1017,https://api.apptentive.com/conversations/65323fdb76906c585b0e61b9/configuration
272067,272286,219,0,0,194,24,200,application/json;charset=utf-8,534,223,https://kpck4q-dynamic-config-api.appsflyersdk.com/api/dynamic-config/1
272072,272283,211,0,0,186,24,200,text/plain,2814,205,https://kpck4q-attr.appsflyersdk.com/api/v6.11/iosevent?app_id=1666653815&buildnumber=6.11.0
272099,272350,251,0,0,240,10,200,application/json; charset=utf-8,687,2237,https://api.apptentive.com/conversations/65323fdb76906c585b0e61b9/interactions
272101,272342,241,0,0,232,9,200,application/json; charset=utf-8,687,473,https://api.apptentive.com/conversations/65323fdb76906c585b0e61b9/messages
272270,272387,117,0,0,102,7,200,application/json;charset=utf-8,6567,1098,https://default.stg.api.discomax.com/legal/terms?include=kind%2Cconsent&filter%5Bkind.brandId%5D=beam&decorators=articleBodyRichText.richTextHtml&filter%5Bkind.alias%5D=sell-share-data
272443,272664,221,0,0,208,12,404,application/json; charset=utf-8,349,184,https://kpck4q-skadsdkless.appsflyersdk.com/api/v2.0/conversion-value?uid=1697791623758-0309223&app_id=id1666653815&trigger=fg&session_counter=1&iaecounter=0&device_timestamp=1697791964067&prev_response_time=null&prev_update_time=null&prev_update_value=null&prev_response_code=null&session_length=null&os_version=14.6&sdk_version=6.11.0&bundle_id=com.discovery.mobile.enterprise.discoveryplus&device_model=iPhone13%2C2&gcv_transaction_id=85524A98-08CB-4CD9-BBD1-33C4A5B48C18
272515,272668,153,0,0,130,15,200,application/json,6463,538,https://default.stg.api.discomax.com/cms/configs/geoblock
